Project Name,Project ID,Tags
Fultra - Soporte,ba68f899-6772-4466-8a03-65b9db5533de,
Area de PM,cf3a9eb4-ffda-4f32-ada6-a8401e46fc2b,
Rey Tláloc - Chatbot,5bc9571b-a204-43ea-843c-0665cee151df,
Ecodeli Industrial - Migracion Hostgator GCP,b3696b3d-fc82-4802-8c78-8514afb71a9e,
Cengage,8f994785-5958-473e-bf88-dc754b97f3ae,
GML- Loyalty,f16552f7-54e4-4f29-ad69-cc7724dfa584,
Cilantro_Guaxillo-Ecommerce,f038eb8c-73e2-4b35-bfe9-bec6eb896134,
UX-UI Hub,910641ea-76be-4213-b1c7-bdcf8bb0dfaa,
Iconn- Migración,0f2e7623-99de-42e6-9e90-3df24ac0a74f,
Test DevOps,f53427b2-09d1-4cbf-bcf1-2ba175055e49,
Red Ambiental - Manifiesto Digital,670d04c9-5f3b-4907-a267-e4eb7d3f3d1e,
iNBest - Pagina web,435f1cd0-5606-441e-99d3-8ea7f52f350d,
Carico,6b99fd3f-05a3-4972-8549-0593381e338d,
CI Team,563d8462-335d-40c6-88da-e9711c829fed,
Preventa Hub,a6ca18af-17d2-4caa-8e67-ca7a5c2b5982,
AMENIJAL - Conmutador,c0384662-d4aa-4afc-a426-3703686a2325,
VitroVerse,68cad5c6-479a-4dea-b240-477cdc9e4c67,
ACE- Reconocimiento facial,55ec8900-6bac-47cd-9bee-70e700f9456d,
SF Consultoría - Facturación,ec21a2f5-c362-4217-bdc1-892218aeec0b,
Ultra Laboratorios- Conexión AWS -GCP para Chatbot de Whatsapp,ef799798-b094-436e-b0ef-ab00f74d53e0,
Head of Innovation Hub,54b9de8f-4307-4b1c-8da6-98c80d8196fb,
Red Ambiental - Sistema de Básculas Cancún e Irapuato,4003239b-dbbd-41ca-b99c-06caef22f0ce,
Estafeta POC Búsqueda de Imágenes,7384e09c-be0e-486f-bfdf-c638651d3101,"Innovation, ErikaLuna"
FRAGUA,f2156bef-0702-4272-9811-7797d04799e5,
JOM,18f6fc94-f204-4003-9df4-58ed97420350,
UPN- Migración,22260bee-9ca2-4685-af4e-33df0d16b804,
Future Core - Área 151,782bcf66-d5e5-4cbf-9eb4-b9c226b88110,
Calux - Dashboards Power BI,e85b4610-24da-436b-8176-1171b97d6510,
métricasQA-Test,e2cf3d91-3b4c-42c1-a9bd-b744dae48ab3,
Solvo - Desarrollo CodeOnTime,fcee8b6b-ee77-4b09-b2f0-b13d02b89822,
Vitro-Optimización de cortes,8acde0c0-df9a-47a8-8e75-93669785b5f7,
Googov -migración de servidores,07be24ff-cdf8-436d-881a-a94e109267f0,
Real Systems - Migración,b12d4de5-34e0-4747-92fe-2aed7c944949,
Project Test Sebastián,135a72af-3295-473f-9dc7-6a1dda743284,
GML - CRM Flotillas Internas,f9933de0-655e-4410-bc48-18ad49915248,
Compas,e647ce58-5131-4d55-a998-fe0212eaede8,
Modern Work Hub,ba7e9689-87e5-463d-9b45-ae9a94d2a3d1,
DMX - Consultoria Google,8354200c-9a06-4127-a659-0646f88af44d,
VItro - PWA1,cee559b0-338b-4de1-a59d-9a7fbca5b578,
Hyson-Raindbird ChatBot,cf2295a7-bff1-4319-9f72-266915dcee7d,
Ho-Ho,17ad64d5-4e99-41ac-b5bf-766504504eed,
Hoteles City,c428f7db-ee06-4daf-b80a-2078c42d9017,
Conciliación Laboral - Chatbot,499590e3-651b-415f-bb64-49daabd7f802,
People - HR - Activities Hub,11ef6b5a-6416-40f8-9629-0b13c924f900,
Nadro-Webscraping,73b8b35a-cb60-4803-9442-d15960bc5784,
Altabix,3e2beb53-7225-4e1e-a9c6-4cb65dbbf826,
Oxxo - app,5e8fb32b-8c2f-47ea-84a1-bd24671595c6,
Vinkos - Consultoría,f8c8881c-d309-4b9f-a61b-395f6694ff04,
Farmacias YZA - Capacitacion Power BI,be572e38-f578-4a08-9146-e0c48e4bbfab,
Cenmex - Levantamiento Biostar,05bfde54-0819-49b7-81bd-0471681a67a0,
Yo Contigo - Fiscalía de Baja California - Video Denuncia,fbdbf108-2e9c-4daa-83fd-58d96232bea8,
EP DE MEXICO MIGRACION BLUEHOST,3587f323-5b9f-4ade-aea2-1df087ed2818,
Team QA,e7a6d75b-c660-44b3-b8ec-b756bfb97b5a,
MIT Concreto - Dashboard,42cd3c42-00ec-43f0-9be4-df0550d5565e,
Unión de Tula - App,1177604c-01b1-436b-80c3-335929ec1af9,
Nadro - RPA Macrosolped 2.0,2ad80c71-53ff-4cb1-8a9a-1173baf4fdcc,
KidZania,a3e619aa-c9e0-429b-9aa6-87326fafc7ec,
Astros - Web,e05d6ee6-f84a-475b-85c4-802f2e296b9c,
Guntner-Soporte,5eba996c-3195-4079-9b55-06c5b4cdf94a,
Iconn - Soporte,18c895a5-bf42-4ae7-b1e1-266e6cac50b3,
Ad Punto,40dccf56-5b74-48b3-b896-e73dce99732c,
Orkestapay,86d5603c-97ae-48b5-84c0-a4b27f24f5fa,
Philips,d0a6103c-64ea-4f1b-a1dd-55b76330aca3,"Innovation, EfrainGarcia"
PMO- PROYECTO INTERNO,c965cb98-1ae1-4c1e-984b-7dd8bea36ec9,
Data - PMO,72d9c784-bb2c-493d-8036-04be74d28adb,
JA DE RIO,562563a1-ae2d-4ba6-a010-144e4b136e60,
Fultra-Migración de infraestructura,e24c83d3-85b1-406b-ae97-df47ea62392f,
AWS Digital Competency,b07717d2-481b-4d9f-b627-4f6159341c49,
Credicor - Migración de Consola,d6e9ed27-5860-4aa6-8051-9d59acbd3398,
Red ambiental- Phoenix,ea5eb93e-92dc-46c0-88b7-d6aca1be1957,
Unión de Tula - Web,91ae9dba-8e74-494c-b998-84496c3452f0,
Baseline,5bdfb123-9eb5-4636-a6cc-dc59fd408037,
AWS DevOps Competency,bd995011-8d91-4cac-b03b-d80c18ddb368,
Ep Market,57e7dd17-42d6-4e87-9693-18782d7d538a,
Fultra-Migración a Linux,def371c9-6fb7-4a3b-88cd-62bd0ab05b79,
Cloud Projects Hub,df28f19a-89dd-40eb-be8e-d57c6b281d71,
Universidad Veracruzana,30ed97d2-4afb-44cc-ac4c-45f66c0410b9,
Solvo - Soporte,6dffa0b6-6613-4ff3-9328-81f08494a857,
OAG - FBO (SAP-Interfaces),6a85e9f2-f31a-4b80-9cc5-0586cb6160d8,
Medica Sur - Data Lake SAP,6d2b95c9-f4e8-483d-a62d-27232b6eba79,
Telemática - Reconocimiento de imagen y video mediante AI,a082b3ee-df94-4c3a-a2d3-e18f2d93dc61,
Ideas Exitosas - Solocasas Web,e2cf9898-7a88-48eb-85cd-06b06d203b65,"SoftwareFactory, EduardoFelix"
Roomie IT,540a4735-ceca-4e10-adc7-754cc4c1f15e,
GML - Post Venta,23a375f9-905d-48f2-899d-1437a1126483,
Vitro - PWA,cfa75e66-953d-4549-9087-90e92287167f,
OAG - RH,f04acaa4-264b-49ab-8a63-1f9bff3d5555,
Estafeta - APIM,1c3310da-7b27-4b22-9cb6-cca2296794f6,
Grupo Guías-Homologación de Datos,b288c81b-988d-4f89-a28c-d42061d6a5d2,
UDEM- CHATBOT,3e8e9bb7-c96a-491b-be2e-e28666eedddd,"SoftwareFactory, EduardoFelix"
Pre-sales,fab37d61-19f9-4fb8-9068-a774ac34df3d,Preventa
Grupo Alaruz- Migración de correos,df8de677-0895-4368-8109-b0c501bce449,
PJENL,8d99185c-ad9d-452a-b4f2-6e953a00e099,
Ho-Ho Connect,87c634c0-17db-4c45-a6f2-19a940082eb9,
IEEM,b5730e12-c905-427c-a838-8c7851f0dd8f,
Development Hub,bf9b1a48-3d6e-447e-8a61-d4a7e87964fa,
Visitas a clientes,f5152372-f09b-4737-a1de-57c219b96f3f,
MAVI - Modernización Aplicativo,0bf29f9b-b6bf-4956-a73d-0da266e50825,
Airoom Mini Panel,cace3cd2-b8d6-4e18-b35a-30c95dfa63b0,
DonkeyBot- Chatbot IPN,aa0185a4-d04e-4c0c-a531-e5e52991feff,
Roomie-it - Consultoría red Profuturo,30b87e69-f4fc-4efd-b639-1f6d95f86ca9,
Red Ambiental - Capa de Integración,7a1b0908-52a2-444e-bf61-ba7eda5371d4,
Prueba,c8a8b5ef-9bc7-459a-b9f6-50da9673604d,
Dalton - Migración,7307d176-a1bb-48f2-aa75-1b3c08e9fddb,
SF Consultoría - Chatbot,4e53be24-c90d-459a-9b6c-601fcfbfe3cb,
Profitline - ETL,4425bf6a-b3c9-4fb9-9ada-fefd607c250e,
CIMA - SAP e Interfaces,463d7846-40e1-4485-aaf3-5abe5be15362,
Terminal Creativa - LP,10ccfd62-e28e-4677-a45f-d2bd6b692f7a,
Cybersecurity Hub,74f892e4-bf50-4a2c-8fb6-4e2f31c76f47,
Protexa - RFP Microsoft 365 y AD,6c05e2b9-d351-4ef7-988c-cf233654a405,
Happy Coast - CRM,c5be016c-ce2f-4235-b4e4-9da7c8fc2f60,
TLC- Soporte,b84e3c2b-fde2-48b3-938a-987ae29aba58,
PerfectBuy,99727288-0e00-41aa-af77-4a0de441093f,
Hermosillo-PoC Zoho CRM,1543b66b-35c9-4f14-bc1e-3831cabd877b,
Toka- Migración,b6a4d80c-0146-44c8-8df4-f6569e422674,
Haasler - CRM,402d2042-2b4d-4339-8949-ad4ce47f6107,
DMX-  DRP App Services y APIM,3a3fcefa-4bcd-46e7-812d-f89d46de4173,"Cloud, JaimeReyes"
RAC,0e21d9f6-c879-4b9f-ada5-0b8ba2527bb5,
Piel Chinita - CRM,69aa1479-d3b7-4250-8602-05171e107436,
GML - Ecommerce Accesorios,6e29e9eb-9a48-4a64-9717-7f71c61824a2,
CocaCola-Andina-Data Laye,7e2975d0-a052-4f4f-9430-18777a266bf8,
BPM (Buen Paso Media) - WordPress,d0283c5b-c125-4cba-a7cc-59f4c3853361,
Project Test Nocedal,93808bf0-0960-4b90-83e4-4415475e6e46,
Customer Experience Hub,572766c1-042b-4d1d-95cb-cc0fac563fc9,
Manpower-Migración Chatbot,0ac633c0-acd4-49e7-874d-7ec224ad7c1d,
ISO 20000,51da9cd0-d89a-45c6-855d-b755188198e9,
EP de México,8b558137-d6b3-4f73-bb38-313e74aae18f,
Facturación  AWS,b2d070a5-f5e8-4859-901f-5cbdfaf703ac,
Easytrip - Guidanceplex,a0af00f6-1bf4-4be8-a31e-f9e62f19fee5,
Mareva - DRP,754e0985-2f6d-49bd-b739-a42ef822e806,
Project Management Hub,c3a84d51-1635-4bdb-9363-a31f7d34deae,
Ultra Labs - Dashboard,7e03cf5d-b6d7-4a90-96b8-4d805e583588,
GML - ETL Botmaker,e7fe0b98-09f4-4458-b67d-64f4396ee53e,
Farmacias YZA - Dashboards,617df641-b5ef-4233-a524-eef2340d589c,
GML- Soporte,46b4da8f-d0c3-48e4-9917-6eb67a30084e,"SoftwareFactory, LuisNocedal"
LEONEM- Migración,cae81d96-99a4-46aa-bd84-dd68c13560b0,
Onboarding - RH -UXUI,d5d43724-e80a-490b-b143-bf389c92c9bf,
Tiendas 3B,205f66fb-8163-4507-8781-a8441b916261,
Proan Chatbot RH,3063031c-a3d0-428b-8b0a-adb60d4225f6,
CRM Innovación,0e360f9c-cd36-4bf9-a9a4-8b457a63e993,
Cooper-Soporte,886a730d-044b-4be7-acdf-b4aaec881064,
Pastelería Marisa- Migración,fcfab600-02c3-4b1c-a691-47dddb2faca7,
Traxion - Chatbot,012f77cc-d4fd-4279-93dc-40c19b815de8,
Nanny - App Web,635b68f8-f2fc-4646-b7cb-2ced431afd18,
Calux - Punto de Venta,a7775c61-a505-4d2d-a138-0ab5ec58b4aa,
IEEM - Proceso digitalizacion Prep 2024,64795a67-13b5-4158-b88c-a755b78b1bb4,
GML - Sitio Web,ee64bafe-6458-4e66-880b-a13f5ea178ac,
AWS Financial Services Competency,3522ca30-efd7-485e-a6e6-7024590e33cd,
115 Grados,097219cb-5421-4ddf-a500-810bcca1dfaf,
INBest Core-MRO Innovación,8f126416-e291-40bd-9d8f-2f9fd69095c9,
Roomie-it Poliza Change Management AWS,2b453923-8259-4dea-9df0-bfd614338396,
Farmacias San Pablo - API Facebook,d05b29fa-d041-4ed3-b5ed-0b44b3e2f3f1,
Repstronics - ERP,94dbd40c-9a8b-45f6-8383-2435c2d2678f,
Sanchez y Martinez - Migración PAXIS,fa6f287d-9b3d-4f2a-b81a-828296d18987,
Cooper-MRO20,05daa17d-49b8-4fa8-986e-bbe77bd61ae1,"Innovation, EfrainGarcia"
HOHO DASHBOARD,bc869ddd-46de-46f3-a62b-304961c8b91e,
Grupo Guias - Multicotizador de Seguros,03d646df-34ff-4804-96b2-1003f94e9e89,"SoftwareFactory, EduardoFelix"
Cooper Renovación Transportes RH,ae27abc8-58f5-497d-bf90-0d55272f7f77,
Fiscalía BC - Open Search,a15cfd6b-9bef-4efa-bf26-0c9f5b53d637,
Tiendas 3B - APIM WAF,ba25849c-92c9-4e27-aede-c2a31f419998,
DevOps Hub,a50f1645-b960-4b04-bd9f-4363fc52995c,
Masterfan - Data_BI,06839244-ef0d-430f-b1aa-155da76c5254,
Data AI Hub,baf81fd0-489a-41b7-9080-4beef9e68f12,
Giant Motors - CRM,fb20be0f-06f1-41a7-9133-ef1915cb3ead,"SoftwareFactory, LuisNocedal"
Porsche - Tableros PowerBI,1781a90d-8034-47dd-8ee2-4e2c0c3118c4,
Migración a Azure DevOps,e3d55112-02a1-4ae8-a638-c17d655d2d0b,
Médica Sur,0cd82db7-d0d7-4186-8452-2b5b55263fbb,
Ocean Medic -Ecosistema Ai,6ff6c5f3-f3d4-4761-84d4-70302efc37be,
Servnet - SAP,44102aaf-4bb3-490c-b032-89ff0d9ee5e6,
Multiva - Workspaces,abf1695c-1473-494e-a0cb-2e78da329094,
iNBest-365,898e80cb-966d-4af9-b351-1f8530723d93,
Gob michoacan - Infraestrcutura y bot GPT,5335e0d7-ee41-4836-8a0b-ef3b7de5e0aa,
Impotrade,b320c3e0-7ed2-4c58-a4e0-53d37a72b1fd,
Yo Contigo - Migración Elastic Search,6e6ad400-12b0-404d-a364-01601dff7f4d,
Unión de Tula,703cb270-3f0d-4a04-a365-132bc1999a2b,
Hermosillo Data Lake - NC,60e44309-bafc-4405-96ee-e1a59e74a3ad,
MSP Hub,62524932-6348-4537-a99e-ecbeccfa7d7f,
Billing GCP,8ae6034d-8d18-494f-a272-ed641a7787ef,
Sacbe Multicurrency - Levantamiento de servidores,850ec27c-0d02-45b5-b35f-e60f1e709940,
WWF - Chatbot,ea50609f-86bd-44de-82e9-533455ff6336,
Guntner-IOT Portal,76a18541-99d6-4de7-ab37-753cff782562,
Ecodeli - OC,573e1d5e-5940-405d-9162-f4f453e49d0f,
Nemak -HR HUB Sharepoint,553318a0-865a-43dd-b7c6-6594269d9e8d,
Lanzacreto- Migración de buzones,d57b4033-9ff8-4ce0-9373-0c8dcaf09ea6,
iNBest-Azure Lighthouse implementation,72e6ddfa-f840-4ae9-99f0-20891d7c0f0d,
Pegaduro,aa05f2b7-6528-46c0-983c-9b2209c2495f,
SEJAL - App,9e628be3-8b23-4501-b4f4-64fb9e87df08,
Finasist - DRP,727431e3-9dcf-47ec-b615-295747749855,
Woodward - Migración de servidores,2f939b8d-1eb6-4d75-8cb7-fda340c9effc,
PTV Group - Workspaces,7f3ee947-46bb-49d8-9c5b-2eb8b7aa7abd,
Manpower-Chatbot,76b33892-7e25-40ba-91f7-4a8f089e709e,
HDI Seguros - Backups de infraestructura,73792cc3-89f1-423c-b13e-5a214b6cf17e,
Grupo Promax-Soporte,b6fe48c4-0763-4ca2-acbe-80db9a5e5303,
JAC BOT,33df0a35-f6b7-4f01-98fa-ffd9f5e3c696,
Hub Modern Work,bdc690d2-23dc-47e9-bb76-956ed02140bf,
Acit global - Soporte aplicativos,ebd694ce-61b2-4362-b197-10194231f981,
H52 - AWS Lookout for vision,c9d03bf8-7aea-4ddd-a55e-731c72eee103,
Helfon,8a5c0958-9b3f-4333-b2eb-aed082638676,
Nufi,cb918982-4bbd-413d-adef-0fdf1bea76c7,
Blumonpay,1ebcc438-a0bd-468a-8ae3-ef04fbb55c81,
Zertuche - Sitio Web,27f10e3d-5ffc-4786-9d34-d3d3f24021e8,
iNBest-Facturación Amazon,bff979e2-38fc-41a9-b548-b20682dc475d,
Happy Coast - Web,c4ef25f5-2377-4e48-b0c9-6d195850b1f2,
Redpack,9b376b6d-dba1-4867-b10b-0363937e0fce,
INE - Migración Chatbot,c681d9db-5f7f-4e9d-9adc-4be82d7d1330,
Toka_SAP-Dashboard,9f0bafff-135a-4635-b722-da0e593bad15,
Ejemplo Hub,4884784b-8c24-4c70-b1e9-c6ca359c67c4,
Roomie IT - Looker BI,180a7977-0405-4228-ba94-084ac6e96144,
Arena Cancún- Migración,887e5ba1-5ffa-4057-b142-a4c5d272fe68,
SIF- Migración de directorios,e7587460-f668-455d-8b41-314bff89e339,
Scrum Master HUB,d0de5f01-e426-45a0-ade9-ceeaed7d614d,
Data Analytics Hub,e3a4b204-bbbc-490f-bf80-ce18d28ead30,
Ultra Labs - Migración SAP,a713e329-60c7-463d-9078-a5cde56d9c4e,
Profuturo - Migraciones,7bed4376-79f6-46c3-845b-8c7a28dbb5e8,
Banakya,58c62fa3-fd3b-499a-aea4-c36974e2013d,
Moto Continental,17ccab46-c63f-473a-9d1f-c563644435de,
CONSAR,c6e3515d-c2c8-4a22-8178-026c1f2f3c66,
Prueba - GML CRM,e2676243-bff2-49f5-89ed-a41af440d2d0,
Farmacias YZA - RAF PWA,e8bd48f3-dd3a-4ec1-9f6e-1988c59f65bb,
Ho-Ho Datos,cb4bc3cd-95d9-41eb-ab67-8554ea14a2f7,
Nadro-Webscraping - Bolsa de hrs,d9536c6d-3015-4ac6-afb9-3473ffa87019,
Easytrip - Finanzas-Automatización,70238156-be13-40db-9f0b-b754f278e416,
Farmacias YZA - Dashboard BI Incentivos,4f96e49d-eb73-45a2-85f2-4c662fe49096,
SCRUM Hub,791454ec-47a7-4a27-98a6-6cc8822a361b,
Pruebas,819312ae-efe2-4846-a449-655e997eca58,
Backend JAC App - GML,b4cd7d45-0334-40c1-abce-c995b714c14b,
IEEM - Proceso digitalización PREP,fef2d555-c1b8-4367-bca5-3bab999b8b7b,
Cold Terminal - Web App -WMS,7950a5d8-95cf-4d45-b0c9-26c29fa3d51b,
Project Planning,587701a5-457a-47c0-85fe-21528353f5c4,
Grupo Vallas,2d3a3b13-659e-43c2-a486-54116d9d21cf,
Fiscalia-Quicksight,516a0bde-3bef-403f-8ca1-5ac433ea0726,
Efecti Mundo  Auditoria de Infra AWS y Remediaciones,dc967de9-e113-4b38-bb9a-a0300d678f28,
Guntner-Asignacion Portal de clientes,62137466-853f-4680-873b-94be04a3f57e,
GML - Modelos 3D,0a159573-229c-4410-bda8-b86b587b54d4,
Billing - Interno,7dfdf111-57ab-419d-acfa-12fbedb20531,
